words,postags
の,助詞
、,補助記号
。,補助記号
て,助詞
に,助詞
を,助詞
が,助詞
は,助詞
と,助詞
た,助動詞
し,動詞
で,助詞
も,助詞
ます,助動詞
　,空白
で,助動詞
です,助動詞
1,名詞
こと,名詞
な,助動詞
0,名詞
に,助動詞
いる,動詞
する,動詞
い,動詞
か,助詞
2,名詞
「,補助記号
」,補助記号
から,助詞
お,接頭辞
れ,助動詞
まし,助動詞
・,補助記号
(,補助記号
),補助記号
さ,動詞
ない,助動詞
ある,動詞
いう,動詞
よう,形状詞
年,名詞
だ,助動詞
あり,動詞
や,助詞
3,名詞
その,連体詞
なっ,動詞
!,補助記号
ませ,助動詞
ん,助動詞
5,名詞
この,連体詞
ない,形容詞
ご,接頭辞
9,名詞
月,名詞
的,接尾辞
4,名詞
ば,助詞
など,助詞
人,名詞
もの,名詞
8,名詞
でき,動詞
方,名詞
なり,動詞
ため,名詞
6,名詞
なる,動詞
まで,助詞
7,名詞
?,補助記号
ね,助詞
者,接尾辞
それ,代名詞
さん,接尾辞
場合,名詞
たい,助動詞
私,代名詞
れる,助動詞
日,名詞
ん,助詞
思い,動詞
これ,代名詞
自分,名詞
ください,動詞
時,名詞
できる,動詞
日,接尾辞
だけ,助詞
...,補助記号
でしょう,助動詞
日本,名詞
-,補助記号
き,動詞
おり,動詞
一,名詞
たら,助動詞
られ,助動詞
